㐖毒	xie2 du2
弘大	hong2 da4
弘奖风流	hong2 jiang3 feng1 liu2
弛高骛远	chi2 gao1 wu4 yuan3
弟男子侄	di4 nan2 zi3 zhi2
张大	zhang1 da4
张大其事	zhang1 da4 qi2 shi4
张大其词	zhang1 da4 qi2 ci2
张大其辞	zhang1 da4 qi2 ci2
张榜	zhang1 bang3
张灯结采	zhang1 deng1 jie2 cai3
张王赵李	zhang1 wang2 zhao4 li3
张皇其事	zhang1 huang2 qi2 shi4
张眼露睛	zhang1 yan3 lu4 jing1
张脉偾兴	zhang1 mai4 fen4 xing1
张靓颖	zhang1 liang4 ying3
弥天大祸	mi2 tian1 da4 huo4
弥天大罪	mi2 tian1 da4 zui4
弥山亘野	mi2 shan1 gen4 ye3
弥日累夜	mi2 ri4 lei4 ye4
弥缝其阙	mi2 feng2 qi2 que4
弥补损失	mi2 bu3 sun3 shi1
弦外有音	xian2 wai4 you3 yin1
弦无虚发	xian2 wu2 xu1 fa1
弧圈球	hu2 quan1 qiu2
弯头	wan1 tou2
弯度	wan1 du4
弱不好弄	ruo4 bu4 hao3 nong4
弱不胜衣	ruo4 bu4 sheng4 yi1
弱冠	ruo4 guan4
弱本强末	ruo4 ben3 qiang2 mo4
弸中彪外	peng2 zhong1 biao1 wai4
弹丝品竹	tan2 si1 pin3 zhu2
弹丸脱手	tan2 wan2 tuo1 shou3
弹丸黑子	dan4 wan2 hei1 zi3
弹丸黑志	dan4 wan2 hei1 zhi4
弹冠振衣	tan2 guan1 zhen4 yi1
弹冠振衿	tan2 guan1 zhen4 jin1
弹冠结绶	tan2 guan1 jie2 shou4
弹剑作歌	tan2 jian4 zuo4 ge1
弹劾案	tan2 he2 an4
弹子房	dan4 zi3 fang2
弹性体	tan2 xing4 ti3
弹斤估两	tan2 jin1 gu1 liang3
弹无虚发	dan4 wu2 xu1 fa1
弹空说嘴	tan2 kong1 shuo1 zui3
弹簧床	tan2 huang2 chuang2
弹簧钢	tan2 huang2 gang1
弹腿	tan2 tui3
弹膛	dan4 tang2
弹跳力	tan2 tiao4 li4
弹钢琴	tan2 gang1 qin2
弹铗无鱼	dan4 jia2 wu2 yu2
弹雨枪林	dan4 yu3 qiang1 lin2
强不知以为知	qiang3 bu4 zhi1 yi3 wei2 zhi1
强作解人	qiang3 zuo4 jie3 ren2
强兵富国	qiang2 bing1 fu4 guo2
强凫变鹤	qiang2 fu2 bian4 he4
强击	qiang2 ji1
强击机	qiang2 ji1 ji1
强制性	qiang2 zhi4 xing4
强加于人	qiang2 jia1 yu2 ren2
强压	qiang2 ya1
强取	qiang2 qu3
强取豪夺	qiang2 qu3 hao2 duo2
强唇劣嘴	qiang2 chun2 lie4 zui3
强嘴拗舌	jiang4 zui3 niu4 she2
强嘴硬牙	jiang4 zui3 ying4 ya2
强固	qiang2 gu4
强壮剂	qiang2 zhuang4 ji4
强夺	qiang2 duo2
强奸民意	qiang2 jian1 min2 yi4
强将	qiang2 jiang4
强干弱枝	qiang2 gan1 ruo4 zhi1
强弓劲弩	qiang2 gong1 jing4 nu3
强弩之极	qiang2 nu3 zhi1 ji2
强弩末矢	qiang2 nu3 mo4 shi3
强强联合	qiang2 qiang2 lian2 he2
强得易贫	qiang3 de2 yi4 pin2
强手	qiang2 shou3
强文假醋	qiang3 wen2 jia3 cu4
强文浉醋	qiang2 wen2 shi1 cu4
强本弱支	qiang2 ben3 ruo4 zhi1
强本弱末	qiang2 ben3 ruo4 mo4
强本弱枝	qiang2 ben3 ruo4 zhi1
强本节用	qiang2 ben3 jie2 yong4
强枝弱本	qiang2 zhi1 ruo4 ben3
强死强活	qiang3 si3 qiang3 huo2
强死赖活	qiang3 si3 lai4 huo2
强渡	qiang2 du4
强热带风暴	qiang2 re4 dai4 feng1 bao4
强留	qiang3 liu2
强直	qiang2 zhi2
强直自遂	qiang2 zhi2 zi4 sui2
强笑	qiang3 xiao4
强者	qiang2 zhe3
强而后可	qiang3 er2 hou4 ke3
强聒不舍	qiang3 guo1 bu4 she3
强自取折	qiang2 zi4 qu3 she2
强自取柱	qiang2 zi4 qu3 zhu4
强行军	qiang2 xing2 jun1
强记	qiang2 ji4
强记博闻	qiang2 ji4 bo2 wen2
强识博闻	qiang3 shi2 bo2 wen2
强词	qiang3 ci2
强词夺正	qiang3 ci2 duo2 zheng4
强邻	qiang2 lin2
强音	qiang2 yin1
强颜	qiang3 yan2
强食弱肉	qiang2 shi2 ruo4 rou4
强食自爱	qiang3 shi2 zi4 ai4
强食靡角	qiang3 shi2 mi2 jiao3
归之若水	gui1 zhi1 ruo4 shui3
归功于	gui1 gong1 yu2
归奇顾怪	gui1 qi2 gu4 guai4
归巢	gui1 chao2
归根究柢	gui1 gen1 jiu1 di3
归正守丘	gui1 zheng4 shou3 qiu1
归正邱首	gui1 zheng4 qiu1 shou3
归正首丘	gui1 zheng4 shou3 qiu1
归正首邱	gui1 zheng4 shou3 qiu1
归真反朴	gui1 zhen1 fan3 pu3
归罪于	gui1 zui4 yu2
归邪转曜	gui1 xie2 zhuan3 yao4
归降	gui1 xiang2
归齐	gui1 qi2
当不起	dang1 bu4 qi3
当世才度	dang1 shi4 cai2 du4
当中间儿	dang1 zhong1 jian1 er5
当今无辈	dang1 jin1 wu2 bei4
当先	dang1 xian1
当出去	dang4 chu1 qu4
当刑而王	dang1 xing2 er2 wang2
当务始终	dang1 wu4 shi3 zhong1
当午	dang1 wu3
当口儿	dang1 kou3 er5
当场出丑	dang1 chang3 chu1 chou3
当场出彩	dang1 chang3 chu1 cai3
当堂	dang1 tang2
当外人看	dang4 wai4 ren2 kan4
当头一棒	dang1 tou2 yi1 bang4
当头对面	dang1 tou2 dui4 mian4
当头棒喝	dang1 tou2 bang4 he4
当子	dang1 zi3
当官	dang1 guan1
当家人	dang1 jia1 ren2
当家做主	dang1 jia1 zuo4 zhu3
当家理纪	dang1 jia1 li3 ji4
当家的	dang1 jia1 de5
当家立业	dang1 jia1 li4 ye4
当家立事	dang1 jia1 li4 shi4
当家立纪	dang1 jia1 li4 ji4
当家立计	dang1 jia1 li4 ji4
当局者迷	dang1 ju2 zhe3 mi2
当差	dang1 chai1
当庭	dang1 ting2
当朝	dang1 chao2
当期	dang1 qi1
当机立决	dang1 ji1 li4 jue2
当着不着	dang1 zhuo2 bu4 zhuo2
当票	dang4 piao4
当立之年	dang1 li4 zhi1 nian2
当紧	dang1 jin3
当胸	dang1 xiong1
当腰	dang1 yao1
当行本色	dang1 hang2 ben3 se4
当路	dang1 lu4
当轴处中	dang1 zhou2 chu3 zhong1
当铺老板	dang4 pu4 lao3 ban3
当门抵户	dang1 men2 di3 hu4
当间儿	dang1 jian4 er2
当面输心背面笑	dang1 mian4 shu1 xin1 bei4 mian4 xiao4
当面错过	dang1 mian4 cuo4 guo4
当面锣对面鼓	dang1 mian4 luo2 dui4 mian4 gu3
当风秉烛	dang1 feng1 bing3 zhu2
录像片	lu4 xiang4 pian4
彘肩斗酒	zhi4 jian1 dou4 jiu3
彝文	yi2 wen2
形劫势禁	xing2 jie2 shi4 jin4
形单影双	xing2 dan1 ying3 shuang1
形只影单	xing2 zhi1 ying3 dan1
形孤影只	xing2 gu1 ying3 zhi1
形式上	xing2 shi4 shang4
形影相依	xing2 ying3 xiang1 yi1
形影相对	xing2 ying3 xiang1 dui4
形影相附	xing2 ying3 xiang1 fu4
形数	xing2 shu4
形枉影曲	xing2 wang3 ying3 qu1
形格势禁	xing2 ge2 shi4 jin4
形相	xing2 xiang1
形神兼备	xing2 shen2 jian1 bei4
形禁势格	xing2 jin4 shi4 ge2
形而上	xing2 er2 shang4
形象化	xing2 xiang4 hua4
形象工程	xing2 xiang4 gong1 cheng2
形象思维	xing2 xiang4 si1 wei2
形象性	xing2 xiang4 xing4
形迹可疑	xing2 ji4 ke3 yi2
形销骨立	xing2 xiao1 gu3 li4
彤红	tong2 hong2
彩云易散	cai3 yun2 yi4 san4
彩像	cai3 xiang4
彩墨画	cai3 mo4 hua4
彩牌楼	cai3 pai2 lou2
彩管	cai3 guan3
彩纸	cai3 zhi3
彩色玻璃	cai3 se4 bo1 li2
彩蝶	cai3 die2
彩衣娱亲	cai3 yi1 yu2 qin1
彩门	cai3 men2
彫章镂句	diao1 zhang1 lou4 ju4
彫肝琢肾	diao1 gan1 zhuo2 shen4
彬彬济济	bin1 bin1 ji3 ji3
彰明昭着	zhang1 ming2 zhao1 zhe5
彰明昭著	zhang1 ming2 zhao1 zhu4
彰明较着	zhang1 ming2 jiao4 zhu4
影人	ying3 ren2
影区	ying3 qu1
影印件	ying3 yin4 jian4
影只形单	ying3 zhi1 xing2 dan1
影只形孤	ying3 zhi1 xing2 gu1
影形不离	ying3 xing2 bu4 li2
影影绰绰	ying3 ying3 chuo4 chuo4
影戏	ying3 xi4
影楼	ying3 lou2
影片儿	ying3 pian1 er5
影视圈	ying3 shi4 quan1
影视界	ying3 shi4 jie4
影调	ying3 diao4
影调剧	ying3 diao4 ju4
彷佛	pang2 fo2
彻上彻下	che4 shang4 che4 xia4
彻内彻外	che4 nei4 che4 wai4
彻首彻尾	che4 shou3 che4 wei3
彼倡此和	bi3 chang4 ci3 he4
彼唱此和	bi3 chang4 ci3 he4
往渚还汀	wang3 zhu3 huan2 ting1
征管	zheng1 guan3
径情直行	jing4 qing2 zhi2 xing2
径行	jing4 xing2
径行直遂	jing4 xing2 zhi2 sui2
待兔守株	dai4 tu4 shou3 zhu1
待到	dai4 dao4
待制	dai4 zhi4
待发	dai4 fa1
待字闺中	dai4 zi4 gui1 zhong1
待定系数法	dai4 ding4 xi4 shu4 fa3
待客	dai4 ke4
待建	dai4 jian4
待批	dai4 pi1
待承	dai4 cheng2
待时守分	dai4 shi2 shou3 fen4
待时而动	dai4 shi2 er2 dong4
待月西厢	dai4 yue4 xi1 xiang1
待查	dai4 cha2
待理不理	dai4 li3 bu4 li3
待用	dai4 yong4
待聘	dai4 pin4
待贾而沽	dai4 jia3 er2 gu1
很不错	hen3 bu2 cuo4
很毒	hen3 du2
很累	hen3 lei4
很脏	hen3 zang1
律令	lv4 ling4
徒唤奈何	tu2 huan4 nai4 he2
徒托空言	tu2 tuo1 kong1 yan2
徒有其表	tu2 you3 qi2 biao3
徒讬空言	tu2 tuo1 kong1 yan2
徒读父书	tu2 du2 fu4 shu1
得不偿丧	de2 bu4 chang2 sang4
得不补失	de2 bu4 bu3 shi1
得不酬失	de2 bu4 chou2 shi1
得了吧	de2 le5 ba5
得人心	de2 ren2 xin1
得人死力	de2 ren2 si3 li4
得兔忘蹄	de2 tu4 wang4 ti2
得其三昧	de2 qi2 san1 mei4
得其所哉	de2 qi2 suo3 zai1
得劲	de2 jin4
得喝水了	dei3 he1 shui3 le5
得失参半	de2 shi1 can1 ban4
得失在人	de2 shi1 zai4 ren2
得失成败	de2 shi1 cheng2 bai4
得失相半	de2 shi1 xiang1 ban4
得失荣枯	de2 shi1 rong2 ku1
得婿如龙	de2 xu4 ru2 long2
得寸得尺	de2 cun4 de2 chi3
得尺得寸	de2 chi3 de2 cun4
得意之作	de2 yi4 zhi1 zuo4
得意之色	de2 yi4 zhi1 se4
得意忘言	de2 yi4 wang4 yan2
得意忘象	de2 yi4 wang4 xiang4
得意起来	de2 yi4 qi3 lai2
得手应心	de2 shou3 ying1 xin1
得月较先	de2 yue4 jiao4 xian1
得未尝有	de2 wei4 chang2 you3
得未曾有	de2 wei4 ceng2 you3
得步进步	de2 bu4 jin4 bu4
得胜回朝	de2 sheng4 hui2 chao2
得胜头回	de2 sheng4 tou2 hui2
得薄能鲜	de2 bo2 neng2 xian1
得间	de2 jian4
得马失马	de2 ma3 shi1 ma3
得马折足	de2 ma3 she2 zu2
得马生灾	de2 ma3 sheng1 zai1
得鱼忘荃	de2 yu2 wang4 quan2
徙善远罪	xi3 shan4 yuan3 zui4
徙宅忘妻	xi3 zhai2 wang4 qi1
徙薪曲突	xi3 xin1 qu1 tu1
御沟红叶	yu4 gou1 hong2 ye4
循名核实	xun2 ming2 he2 shi2
循环论	xun2 huan2 lun4
循诵习传	xun2 song4 xi2 chuan2
微少	wei1 shao3
微循环	wei1 xun2 huan2
微晕	wei1 yun4
微服私行	wei1 fu2 si1 xing2
微行	wei1 xing2
微言大谊	wei1 yan2 da4 yi4
微过细故	wei1 guo4 xi4 gu4
德尊望重	de2 zun1 wang4 zhong4
德州扒鸡	de2 zhou1 pa2 ji1
德智体	de2 zhi4 ti3
德浅行薄	de2 qian3 xing2 bao2
德胜头迴	de2 sheng4 tou2 hui2
德薄才疏	de2 bo2 cai2 shu1
德薄才鲜	de2 bao2 cai2 xian1
德配天地	de2 pei4 tian1 di4
德重恩弘	de2 zhong4 en1 hong2
德隆望重	de2 long2 wang4 zhong4
德音莫违	de2 yin1 mo4 wei2
心上	xin1 shang4
心上心下	xin1 shang4 xin1 xia4
心不两用	xin1 bu4 liang3 yong4
心不应口	xin1 bu4 ying1 kou3
心不由主	xin1 bu4 you2 zhu3
心不由意	xin1 bu4 you2 yi4
心中一懔	xin1 zhong1 yi4 lin3
心之官则思	xin1 zhi1 guan1 ze2 si1
心传	xin1 chuan2
心低意沮	xin1 di1 yi4 ju3
心到神知	xin1 dao4 shen2 zhi1
心去难留	xin1 qu4 nan2 liu2
心口相应	xin1 kou3 xiang1 ying1
心同止水	xin1 tong2 zhi3 shui3
心善	xin1 shan4
心回意转	xin1 hui2 yi4 zhuan3
心在魏阙	xin1 zai4 wei4 que4
心坚石穿	xin1 jian1 shi2 chuan1
心头撞鹿	xin1 tou2 zhuang4 lu4
心头鹿撞	xin1 tou2 lu4 zhuang4
心如坚石	xin1 ru2 jian1 shi2
心如木石	xin1 ru2 mu4 shi2
心如金石	xin1 ru2 jin1 shi2
心如铁石	xin1 ru2 tie3 shi2
心存疑虑	xin1 cun2 yi2 lv4
心存芥蒂	xin1 cun2 jie4 di4
心寒胆落	xin1 han2 dan3 luo4
心小志大	xin1 xiao3 zhi4 da4
心心相连	xin1 xin1 xiang1 lian2
心惊胆落	xin1 jing1 dan3 luo4
心惊胆裂	xin1 jing1 dan3 lie4
心慌撩乱	xin1 huang1 liao2 luan4
心慕手追	xin1 mu4 shou3 zhui1
心手相应	xin1 shou3 xiang1 ying4
心手相忘	xin1 shou3 xiang1 wang4
心摹手追	xin1 mo2 shou3 zhui1
心数	xin1 shu4
心旷神愉	xin1 kuang4 shen2 yu2
心曲	xin1 qu1
心服首肯	xin1 fu2 shou3 ken3
心术不正	xin1 shu4 bu4 zheng4
心术不端	xin1 shu4 bu4 duan1
心殒胆落	xin1 yun3 dan3 luo4
心浮气盛	xin1 fu2 qi4 sheng4
心满意得	xin1 man3 yi4 de2
心潮起伏	xin1 chao2 qi3 fu2
心焦火燎	xin1 jiao1 huo3 liao2
心狠手毒	xin1 hen3 shou3 du2
心王	xin1 wang2
心理医生	xin1 li3 yi1 sheng1
心病还须心药医	xin1 bing4 hai2 xu1 xin1 yao4 yi1
心痒难抓	xin1 yang3 nan2 zhua1
心痒难挝	xin1 yang3 nan2 zhua1
心痒难挠	xin1 yang3 nan2 nao2
心痒难揉	xin1 yang3 nan2 rou2
心瞻魏阙	xin1 zhan1 wei4 que4
心知其意	xin1 zhi1 qi2 yi4
心神不定	xin1 shen2 bu4 ding4
心粗胆大	xin1 cu1 dan3 da4
心细于发	xin1 xi4 yu2 fa1
心织笔耕	xin1 zhi1 bi3 geng1
心腹大患	xin1 fu4 da4 huan4
心腹重患	xin1 fu4 zhong4 huan4
心花怒发	xin1 hua1 nu4 fa1
心若死灰	xin1 ruo4 si3 hui1
心衰	xin1 shuai1
心语	xin1 yu3
心逸日休	xin1 yi4 ri4 xiu1
心长力短	xin1 chang2 li4 duan3
心长发短	xin1 chang2 fa4 duan3
心长绠短	xin1 chang2 geng3 duan3
心间	xin1 jian1
心雄万夫	xin1 xiong2 wan4 fu1
心非巷议	xin1 fei1 xiang4 yi4
心领意会	xin1 ling3 yi4 hui4
心驰魏阙	xin1 chi2 wei4 que4
心黑	xin1 hei1
必不得已	bi4 bu4 de2 yi3
必不挠北	bi4 bu4 nao2 bei3
必也正名	bi4 ye3 zheng4 ming2
必争之地	bi4 zheng1 zhi1 di4
必操胜券	bi4 cao1 sheng4 quan4
必要产品	bi4 yao4 chan3 pin3
必要劳动	bi4 yao4 lao2 dong4
必躬必亲	bi4 gong1 bi4 qin1
忍俊不住	ren3 jun4 bu4 zhu4
忍辱	ren3 ru3
忐上忑下	tan3 shang4 te4 xia4
忐忑不定	tan3 te4 bu4 ding4
志坚行苦	zhi4 jian1 xing2 ku3
志大才疏	zhi4 da4 cai2 shu1
志广才疏	zhi4 guang3 cai2 shu1
志得气盈	zhi4 de2 qi4 ying2
志洁行芳	zhi4 jie2 xing2 fang1
志满意得	zhi4 man3 yi4 de2
志满气得	zhi4 man3 qi4 de2
志美行厉	zhi4 mei3 xing2 li4
志节	zhi4 jie2
忘乎其形	wang4 hu1 qi2 xing2
忘啜废枕	wang4 chuo4 fei4 zhen3
忘寝废食	wang4 qin3 fei4 shi2
忘年之契	wang4 nian2 zhi1 qi4
忘年之好	wang4 nian2 zhi1 hao3
忘形之契	wang4 xing2 zhi1 qi4
忘恩背义	wang4 en1 bei4 yi4
忘象得意	wang4 xiang4 de2 yi4
忙不择价	mang2 bu4 ze2 jia4
忙得不亦乐乎	mang2 de5 bu2 yi4 le4 hu1
忙忙碌碌	mang2 mang2 lu4 lu4
忠不避危	zhong1 bu4 bi4 wei1
忠仆	zhong1 pu2
忠孝节义	zhong1 xiao4 jie2 yi4
忠贞不贰	zhong1 zhen1 bu4 er4
忠骨	zhong1 gu3
忧国忘家	you1 guo2 wang4 jia1
忧心悄悄	you1 xin1 qiao1 qiao1
忧深思远	you1 shen1 si1 yuan3
忧盛危明	you1 sheng4 wei1 ming2
快人快语	kuai4 ren2 kuai4 yu3
快意当前	kuai4 yi4 dang1 qian2
快犊破车	kuai4 du2 po4 che1
快行	kuai4 xing2
快语	kuai4 yu3
快运	kuai4 yun4
快速路	kuai4 su4 lu4
念及	nian4 ji2
忸怩不安	niu3 ni2 bu4 an1
忽明忽暗	hu1 ming2 hu1 an4
忿不顾身	fen4 bu4 gu4 shen1
忿火中烧	fen4 huo3 zhong1 shao1
怀敌附远	huai2 di2 fu4 yuan3
怀珠韫玉	huai2 zhu1 yun4 yu4
怀着鬼胎	huai2 zhe5 gui3 tai1
怀铅提椠	huai2 qian1 ti2 qian4
怀铅握椠	huai2 qian1 wo4 qian4
怆地呼天	chuang4 di4 hu1 tian1
怆天呼地	chuang4 tian1 hu1 di4
怎么的	zen3 me5 de5
怎地	zen3 di4
怎知	zen3 zhi1
怏怏不乐	yang4 yang4 bu4 le4
怏怏不悦	yang4 yang4 bu4 yue4
怒号	nu4 hao2
怒气冲天	nu4 qi4 chong1 tian1
怒气填胸	nu4 qi4 tian2 xiong1
怒火中烧	nu4 huo3 zhong1 shao1
怒火冲天	nu4 huo3 chong1 tian1
怒目横眉	nu4 mu4 heng2 mei2
怕风怯雨	pa4 feng1 qie4 yu3
怕鬼有鬼	pa4 gui3 you3 gui3
怙终不悔	hu4 zhong1 bu4 hui3
怙终不悛	hu4 zhong1 bu4 quan1
怙过不悛	hu4 guo4 bu4 quan1
怙顽不悛	hu4 wan2 bu4 quan1
思不出位	si1 bu4 chu1 wei4
思凡	si1 fan2
思古	si1 gu3
思如涌泉	si1 ru2 yong3 quan2
思妇病母	si1 fu4 bing4 mu3
思归其雌	si1 gui1 qi2 ci2
思患预防	si1 huan4 yu4 fang2
思想性	si1 xiang3 xing4
思所逐之	si1 suo3 zhu2 zhi1
思旧	si1 jiu4
思深忧远	si1 shen1 you1 yuan3
思绪万千	si1 xu4 wan4 qian1
思维能力	si1 wei2 neng2 li4
思考题	si1 kao3 ti2
思贤如渴	si1 xian2 ru2 ke3
怡和	yi2 he2
怡堂燕雀	yi2 tang2 yan4 que4
怡然自乐	yi2 ran2 zi4 le4
怡然自若	yi2 ran2 zi4 ruo4
急不择言	ji2 bu4 ze2 yan2
急不择路	ji2 bu4 ze2 lu4
急不择途	ji2 bu4 ze2 tu2
急不暇择	ji2 bu4 xia2 ze2
急公好施	ji2 gong1 hao4 shi1
急功好利	ji2 gong1 hao4 li4
急口令	ji2 kou3 ling4
急处从宽	ji2 chu4 cong2 kuan1
急如风火	ji2 ru2 feng1 huo3
急张拘诸	ji2 zhang1 ju1 zhu1
急急如律令	ji2 ji2 ru2 lv4 ling4
急惊风撞着慢郎中	ji2 jing1 feng1 zhuang4 zhe5 man4 lang2 zhong1
急拍繁弦	ji2 pai1 fan2 xian2
急救车	ji2 jiu4 che1
急敛暴征	ji2 lian3 bao4 zheng1
急景凋年	ji2 ying3 diao1 nian2
急景流年	ji2 jing3 liu2 nian2
急来报佛脚	ji2 lai2 bao4 fo2 jiao3
急来抱佛脚	ji2 lai2 bao4 fo2 jiao3
急竹繁丝	ji2 zhu2 fan2 si1
急管繁弦	ji2 guan3 fan2 xian2
急脉缓受	ji2 mai4 huan3 shou4
急脉缓灸	ji2 mai4 huan3 jiu3
急腹症	ji2 fu4 zheng4
急起直追	ji2 qi3 zhi2 zhui1
急风	ji2 feng1
急风暴雨	ji2 feng1 bao4 yu3
急风骤雨	ji2 feng1 zhou4 yu3
性解放	xing4 jie3 fang4
怨入骨髓	yuan4 ru4 gu3 sui3
怨天怨地	yuan4 tian1 yuan4 di4
怨女旷夫	yuan4 nv3 kuang4 fu1
怨家债主	yuan4 jia1 zhai4 zhu3
怪样儿	guai4 yang4 er5
怪石	guai4 shi2
怪石嶙峋	guai4 shi2 lin2 xun2
怪论	guai4 lun4
怪诞诡奇	guai4 dan4 gui3 qi2
怪调	guai4 diao4
怪雨盲风	guai4 yu3 mang2 feng1
怫然不悦	fu2 ran2 bu4 yue4
怯头怯脑	qie4 tou2 qie4 nao3
怵头	chu4 tou2
总产	zong3 chan3
总务长	zong3 wu4 zhang3
总厂	zong3 chang3
总参	zong3 can1
总工	zong3 gong1
总工会	zong3 gong1 hui4
总工程师	zong3 gong1 cheng2 shi1
总校	zong3 xiao4
总的	zong3 de5
总的说来	zong3 de5 shuo1 lai2
总统套房	zong3 tong3 tao4 fang2
总罢工	zong3 ba4 gong1
总行	zong3 xing2
总评	zong3 ping2
总责	zong3 ze2
总账	zong3 zhang4
总起来看	zong3 qi3 lai2 kan4
恁地	nen4 di4
恇怯不前	kuang1 qie4 bu4 qian2
恋乡	lian4 xiang1
恋恋难舍	lian4 lian4 nan2 she3
恋栈不去	lian4 zhan4 bu4 qu4
恍然若失	huang3 ran2 ruo4 shi1
恐慌万状	kong3 huang1 wan4 zhuang4
恒河一沙	heng2 he2 yi1 sha1
恒量	heng2 liang4
恕不奉陪	shu4 bu4 feng4 pei2
恢宏大度	hui1 hong2 da4 du4
恢廓大度	hui1 kuo4 da4 du4
恣凶稔恶	zi4 xiong1 ren3 e4
恣心纵欲	zi4 xin1 zong4 yu4
恣情纵欲	zi4 qing2 zong4 yu4
恣意妄行	zi4 yi4 wang4 xing2
恣无忌惮	zi4 wu2 ji4 dan4
恣睢无忌	zi4 sui1 wu2 ji4
恣纵	zi4 zong4
恨入骨髓	hen4 ru4 gu3 sui3
恨如头醋	hen4 ru2 tou2 cu4
恨晚	hen4 wan3
恨相知晚	hen4 xiang1 zhi1 wan3
恨相见晚	hen4 xiang1 jian4 wan3
恩不放债	en1 bu4 fang4 zhai4
恩同山岳	en1 tong2 shan1 yue4
恩同父母	en1 tong2 fu4 mu3
恩威并用	en1 wei1 bing4 yong4
恩威并行	en1 wei1 bing4 xing2
恩怨分明	en1 yuan4 fen1 ming2
恩恩相报	en1 en1 xiang1 bao4
恩有重报	en1 you3 zhong4 bao4
恩深义重	en1 shen1 yi4 zhong4
恩甚怨生	en1 shen4 yuan4 sheng1
恩若再生	en1 ruo4 zai4 sheng1
恩荣并济	en1 rong2 bing4 ji4
恩重如山	en1 zhong4 ru2 shan1
恩重泰山	en1 zhong4 tai4 shan1
恪守不渝	ke4 shou3 bu4 yu2
恫疑虚喝	dong4 yi2 xu1 he4
恫疑虚猲	dong4 yi2 xu1 ge2
恬不为怪	tian2 bu4 wei2 guai4
恬不为意	tian2 bu4 wei2 yi4
恬不知怪	tian2 bu4 zhi1 guai4
恬不知愧	tian2 bu4 zhi1 kui4
恬不知羞	tian2 bu4 zhi1 xiu1
恬淡无为	tian2 dan4 wu2 wei2
恭听	gong1 ting1
恭而有礼	gong1 er2 you3 li3
恭行天罚	gong1 xing2 tian1 fa2
恭逢其盛	gong1 feng2 qi2 sheng4
息息相通	xi1 xi1 xiang1 tong1
息迹静处	xi1 ji4 jing4 chu4
恰切	qia4 qie1
恰逢	qia4 feng2
恶不去善	wu4 bu4 qu4 shan4
恶事行千里	e4 shi4 xing2 qian1 li3
恶兆	e4 zhao4
恶变	e4 bian4
恶向胆边生	e4 xiang4 dan3 bian1 sheng1
恶噷噷	e4 hen3 hen3
恶声恶气	e4 sheng1 e4 qi4
恶尘无染	e4 chen2 wu2 ran3
恶居下流	wu4 ju1 xia4 liu2
恶念	e4 nian4
恶恶从短	wu4 wu4 cong2 duan3
恶湿居下	wu4 shi1 ju1 xia4
恶狗	e4 gou3
恶直丑正	e4 zhi2 chou3 zheng4
恶积祸盈	e4 ji1 huo4 ying2
恶籍盈指	e4 ji2 ying2 zhi3
恶紫夺朱	wu4 zi3 duo2 zhu1
恶虎不食子	e4 hu3 bu4 shi2 zi3
恶衣恶食	e4 yi1 e4 shi2
恶衣粝食	e4 yi1 li4 shi2
恶衣菲食	e4 yi1 fei1 shi2
恶衣蔬食	e4 yi1 shu1 shi2
恶言厉色	e4 yan2 li4 se4
恶言詈辞	e4 yan2 li4 ci2
恶语伤人六月寒	e4 yu3 shang1 ren2 liu4 yue4 han2
恶语相加	e4 yu3 xiang1 jia1
恶贯已盈	e4 guan4 yi3 ying2
恶迹昭着	e4 ji4 zhao1 zhe5
恶迹昭著	e4 ji4 zhao1 zhu4
恶醉强酒	wu4 zui4 qiang3 jiu3
悃愊无华	kun3 bi4 wu2 hua2
悄寂	qiao3 ji4
悄没声	qiao3 mei2 sheng1
悉索薄赋	xi1 suo3 bo2 fu4
悍将	han4 jiang4
悒悒不乐	yi4 yi4 bu4 le4
悔不该	hui3 bu4 gai1
悔之不及	hui3 zhi1 bu4 ji2
悔其少作	hui3 qi2 shao3 zuo4
悔约	hui3 yue1
悔读南华	hui3 du2 nan2 hua2
悔过自责	hui3 guo4 zi4 ze2
悟出	wu4 chu1
悠悠然	you1 you1 ran2
悠游自得	you1 you2 zi4 de2
悠然自得	you1 ran2 zi4 de2
患难与共	huan4 nan4 yu3 gong4
患难夫妻	huan4 nan4 fu1 qi1
悦服	yue4 fu2
悦近来远	yue4 jin4 lai2 yuan3
悬剑空垄	xuan2 jian4 kong1 long3
悬头刺股	xuan2 tou2 ci4 gu3
悬崖撒手	xuan2 ya2 sa1 shou3
悬崖转石	xuan2 ya2 zhuan3 shi2
悬旌万里	xuan2 jing1 wan4 li3
悬梁刺骨	xuan2 liang2 ci4 gu3
悬棺	xuan2 guan1
悬灯结彩	xuan2 deng1 jie2 cai3
悬狟素飡	xuan2 huan2 su4 can1
悬石程书	xuan2 dan4 cheng2 shu1
悬肠挂肚	xuan2 chang2 gua4 du4
悬若日月	xuan2 ruo4 ri4 yue4
悬车之岁	xuan2 che1 zhi1 sui4
悬车之年	xuan2 che1 zhi1 nian2
悬车告老	xuan2 che1 gao4 lao3
悬车束马	xuan2 che1 shu4 ma3
悬车致仕	xuan2 che1 zhi4 shi4
悬钩子	xuan2 gou1 zi5
悬首吴阙	xuan2 shou3 wu2 que4
悬驼就石	xuan2 tuo2 jiu4 shi2
悬鹑百结	xuan2 chun2 bai3 jie2
